"category_id";"url"
"1";"1"
"2";"1/2"
"6";"1/2/6"
"7";"1/2/7"
"8";"1/2/7/8"
"9";"1/2/7/8/9"
"10";"1/2/7/8/10"
"11";"1/2/7/8/11"
"12";"1/2/7/8/12"
"13";"1/2/7/8/13"
"14";"1/2/7/8/14"
"15";"1/2/7/8/15"
"16";"1/2/7/8/16"
"17";"1/2/7/8/17"
"18";"1/2/7/18"
"19";"1/2/7/18/19"
"20";"1/2/7/18/20"
"21";"1/2/7/18/21"
"22";"1/2/7/18/22"
"23";"1/2/7/18/23"
"24";"1/2/7/18/24"
"25";"1/2/7/18/25"
"26";"1/2/26"
"27";"1/2/27"
"28";"1/2/28"
"29";"1/2/29"
"30";"1/2/7/30"
"31";"1/2/7/30/31"
"32";"1/2/7/30/32"
"33";"1/2/7/30/33"
"34";"1/2/7/30/34"
"35";"1/2/7/30/35"
"36";"1/2/7/30/36"
"37";"1/2/7/37"
"38";"1/2/7/37/38"
"39";"1/2/7/37/39"
"40";"1/2/7/37/40"
"41";"1/2/7/37/41"
"42";"1/2/7/42"
"43";"1/2/7/42/43"
"44";"1/2/7/42/44"
"45";"1/2/7/42/45"
"46";"1/2/7/42/46"
"47";"1/2/7/42/47"
"48";"1/2/7/42/48"
"49";"1/2/7/42/49"
"50";"1/2/7/42/50"
"51";"1/2/7/42/51"
"52";"1/2/7/42/52"
"53";"1/2/7/42/53"
"54";"1/2/7/54"
"55";"1/2/7/54/55"
"56";"1/2/7/54/56"
"57";"1/2/7/54/57"
"58";"1/2/7/54/58"
"59";"1/2/7/54/59"
"60";"1/2/7/54/60"
"61";"1/2/7/54/61"
"62";"1/2/7/54/62"
"63";"1/2/7/54/63"
"64";"1/2/7/54/64"
"65";"1/2/7/65"
"66";"1/2/7/65/66"
"67";"1/2/7/65/67"
"68";"1/2/7/65/68"
"69";"1/2/7/65/69"
"70";"1/2/7/65/70"
"71";"1/2/7/65/71"
"72";"1/2/7/65/72"
"73";"1/2/7/65/73"
"74";"1/2/7/65/74"
"75";"1/2/7/65/75"
"76";"1/2/7/65/76"
"77";"1/2/7/65/77"
"78";"1/2/7/65/78"
"79";"1/2/7/65/79"
"80";"1/2/7/65/80"
"81";"1/2/7/65/81"
"82";"1/2/7/65/82"
"83";"1/2/7/83"
"84";"1/2/7/83/84"
"85";"1/2/7/83/85"
"86";"1/2/7/83/86"
"87";"1/2/7/83/87"
"88";"1/2/7/83/88"
"89";"1/2/7/83/89"
"90";"1/2/7/90"
"91";"1/2/7/90/91"
"92";"1/2/7/90/92"
"93";"1/2/7/90/93"
"94";"1/2/7/90/94"
"95";"1/2/7/95"
"96";"1/2/7/95/96"
"97";"1/2/7/95/97"
"98";"1/2/7/95/98"
"99";"1/2/7/95/99"
"100";"1/2/7/95/100"
"101";"1/2/7/95/101"
"102";"1/2/7/95/102"
"103";"1/2/7/103"
"104";"1/2/7/103/104"
"105";"1/2/7/103/105"
"106";"1/2/26/106"
"107";"1/2/26/107"
"108";"1/2/26/108"
"109";"1/2/26/109"
"111";"1/2/26/106/111"
"112";"1/2/26/106/112"
"113";"1/2/26/106/113"
"114";"1/2/26/106/114"
"115";"1/2/26/106/115"
"116";"1/2/26/106/116"
"117";"1/2/26/106/117"
"118";"1/2/26/106/118"
"119";"1/2/26/106/119"
"120";"1/2/26/107/120"
"121";"1/2/26/107/121"
"122";"1/2/26/108/122"
"123";"1/2/26/108/123"
"124";"1/2/26/108/124"
"125";"1/2/26/108/125"
"126";"1/2/26/109/126"
"127";"1/2/26/109/127"
"128";"1/2/26/109/128"
"129";"1/2/26/109/129"
"130";"1/2/26/109/130"
"131";"1/2/26/109/131"
"132";"1/2/26/109/132"
"133";"1/2/26/109/133"
"134";"1/2/26/109/134"
"135";"1/2/26/109/135"
"136";"1/2/26/109/136"
"137";"1/2/27/137"
"138";"1/2/27/137/138"
"139";"1/2/27/137/139"
"140";"1/2/27/137/140"
"141";"1/2/27/137/141"
"142";"1/2/27/137/142"
"143";"1/2/27/137/143"
"144";"1/2/27/137/144"
"145";"1/2/27/137/145"
"146";"1/2/27/146"
"147";"1/2/27/146/147"
"148";"1/2/27/146/148"
"149";"1/2/27/146/149"
"150";"1/2/27/146/150"
"151";"1/2/27/151"
"152";"1/2/27/151/152"
"153";"1/2/27/151/153"
"154";"1/2/27/151/154"
"155";"1/2/27/151/155"
"156";"1/2/27/151/156"
"157";"1/2/27/151/157"
"158";"1/2/27/151/158"
"159";"1/2/27/151/159"
"160";"1/2/27/151/160"
"161";"1/2/27/151/161"
"162";"1/2/27/151/162"
"163";"1/2/27/163"
"164";"1/2/27/163/164"
"165";"1/2/27/163/165"
"166";"1/2/27/163/166"
"167";"1/2/27/163/167"
"168";"1/2/27/163/168"
"169";"1/2/27/163/169"
"170";"1/2/27/163/170"
"171";"1/2/27/163/171"
"172";"1/2/27/163/172"
"173";"1/2/27/163/173"
"174";"1/2/27/163/174"
"175";"1/2/27/175"
"176";"1/2/27/175/176"
"177";"1/2/27/175/177"
"178";"1/2/27/175/178"
"179";"1/2/27/175/179"
"180";"1/2/27/175/180"
"181";"1/2/27/181"
"182";"1/2/27/182"
"183";"1/2/27/183"
"184";"1/2/27/184"
"185";"1/2/27/185"
"186";"1/2/27/186"
"187";"1/2/27/187"
"188";"1/2/27/188"
"189";"1/2/27/189"
"190";"1/2/27/181/190"
"191";"1/2/27/181/191"
"192";"1/2/27/181/192"
"193";"1/2/27/181/193"
"194";"1/2/27/181/194"
"195";"1/2/27/181/195"
"196";"1/2/27/182/196"
"197";"1/2/27/182/197"
"198";"1/2/27/182/198"
"199";"1/2/27/183/199"
"200";"1/2/27/183/200"
"201";"1/2/27/184/201"
"202";"1/2/27/184/202"
"203";"1/2/27/184/203"
"204";"1/2/27/184/204"
"205";"1/2/27/184/205"
"206";"1/2/27/184/206"
"207";"1/2/27/184/207"
"208";"1/2/27/184/208"
"209";"1/2/27/184/209"
"210";"1/2/27/184/210"
"211";"1/2/27/185/211"
"212";"1/2/27/185/212"
"213";"1/2/27/185/213"
"214";"1/2/27/185/214"
"215";"1/2/27/185/215"
"216";"1/2/27/186/216"
"217";"1/2/27/186/217"
"218";"1/2/27/186/218"
"219";"1/2/27/187/219"
"220";"1/2/27/187/220"
"221";"1/2/27/187/221"
"222";"1/2/27/187/222"
"223";"1/2/27/187/223"
"224";"1/2/27/188/224"
"225";"1/2/27/189/225"
"226";"1/2/27/184/226"
"227";"1/2/27/186/227"
"228";"1/2/27/186/228"
"229";"1/2/27/187/229"
"230";"1/2/27/230"
"231";"1/2/27/185/231"
"232";"1/2/27/185/232"
"233";"1/2/27/185/233"
"234";"1/2/27/185/234"
"235";"1/235"
"236";"1/236"
"237";"1/2/27/237"
"238";"1/2/27/237/238"
"239";"1/2/27/237/239"
"240";"1/2/27/237/240"
"241";"1/2/27/237/241"